
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    3.3800   3.3318715E+06   3.0836470E+06   3.1757242E+06
    3.3900   3.3318715E+06   3.0836470E+06   3.1757242E+06
    3.4000   3.3318712E+06   3.0836470E+06   3.1757242E+06
    3.4100   3.3318712E+06   3.0836470E+06   3.1757242E+06
    3.4200   3.3318712E+06   3.0836472E+06   3.1757245E+06
    3.4300   3.3318710E+06   3.0836472E+06   3.1757245E+06
    3.4400   3.3318710E+06   3.0836472E+06   3.1757245E+06
    3.4500   3.3318710E+06   3.0836472E+06   3.1757245E+06
    3.4600   3.3318708E+06   3.0836472E+06   3.1757248E+06
    3.4700   3.3318708E+06   3.0836472E+06   3.1757248E+06
    3.4800   3.3318708E+06   3.0836472E+06   3.1757248E+06
    3.4900   3.3318705E+06   3.0836472E+06   3.1757250E+06
    3.5000   3.3318705E+06   3.0836475E+06   3.1757250E+06
    3.5100   3.3318702E+06   3.0836475E+06   3.1757250E+06
    3.5200   3.3318702E+06   3.0836475E+06   3.1757252E+06
    3.5300   3.3318702E+06   3.0836475E+06   3.1757252E+06
    3.5400   3.3318700E+06   3.0836475E+06   3.1757252E+06
    3.5500   3.3318700E+06   3.0836475E+06   3.1757252E+06
    3.5600   3.3318700E+06   3.0836475E+06   3.1757255E+06
    3.5700   3.3318698E+06   3.0836475E+06   3.1757255E+06
    3.5800   3.3318698E+06   3.0836478E+06   3.1757255E+06
    3.5900   3.3318698E+06   3.0836478E+06   3.1757255E+06
    3.6000   3.3318698E+06   3.0836478E+06   3.1757255E+06
    3.6100   3.3318695E+06   3.0836478E+06   3.1757255E+06
    3.6200   3.3318695E+06   3.0836480E+06   3.1757255E+06
    3.6300   3.3318695E+06   3.0836480E+06   3.1757255E+06
    3.6400   3.3318695E+06   3.0836480E+06   3.1757255E+06
    3.6500   3.3318695E+06   3.0836480E+06   3.1757255E+06
    3.6600   3.3318695E+06   3.0836482E+06   3.1757255E+06
    3.6700   3.3318692E+06   3.0836482E+06   3.1757255E+06
    3.6800   3.3318692E+06   3.0836482E+06   3.1757255E+06
    3.6900   3.3318692E+06   3.0836482E+06   3.1757255E+06
    3.7000   3.3318692E+06   3.0836485E+06   3.1757255E+06
    3.7100   3.3318692E+06   3.0836485E+06   3.1757255E+06
    3.7200   3.3318690E+06   3.0836485E+06   3.1757255E+06
    3.7300   3.3318690E+06   3.0836485E+06   3.1757255E+06
    3.7400   3.3318690E+06   3.0836488E+06   3.1757255E+06
    3.7500   3.3318690E+06   3.0836488E+06   3.1757255E+06
    3.7600   3.3318688E+06   3.0836488E+06   3.1757255E+06
    3.7700   3.3318688E+06   3.0836488E+06   3.1757258E+06
    3.7800   3.3318688E+06   3.0836490E+06   3.1757258E+06
    3.7900   3.3318688E+06   3.0836490E+06   3.1757258E+06
    3.8000   3.3318685E+06   3.0836490E+06   3.1757258E+06
    3.8100   3.3318685E+06   3.0836490E+06   3.1757258E+06
    3.8200   3.3318685E+06   3.0836492E+06   3.1757258E+06
    3.8300   3.3318685E+06   3.0836492E+06   3.1757258E+06
    3.8400   3.3318685E+06   3.0836492E+06   3.1757258E+06
    3.8500   3.3318682E+06   3.0836492E+06   3.1757258E+06
    3.8600   3.3318682E+06   3.0836495E+06   3.1757258E+06
    3.8700   3.3318682E+06   3.0836495E+06   3.1757255E+06
    3.8800   3.3318682E+06   3.0836495E+06   3.1757255E+06
    3.8900   3.3318682E+06   3.0836498E+06   3.1757255E+06
    3.9000   3.3318682E+06   3.0836498E+06   3.1757255E+06
    3.9100   3.3318682E+06   3.0836498E+06   3.1757255E+06
    3.9200   3.3318680E+06   3.0836500E+06   3.1757255E+06
    3.9300   3.3318680E+06   3.0836500E+06   3.1757255E+06
    3.9400   3.3318680E+06   3.0836500E+06   3.1757255E+06
    3.9500   3.3318680E+06   3.0836502E+06   3.1757255E+06
    3.9600   3.3318680E+06   3.0836502E+06   3.1757255E+06
    3.9700   3.3318680E+06   3.0836502E+06   3.1757255E+06
    3.9800   3.3318678E+06   3.0836505E+06   3.1757255E+06
